prompt,good_votes,bad_votes,interesting,entertaining,easy to understand,goal_rating
prompt_0,76,24,0.654421788542795,3.511986474437095,3.9297860673845504,0.2964234901751084
prompt_1,71,29,1.970227597570005,3.680480435903589,3.6808021754441285,4.262305736748305
prompt_2,5,95,3.0376994241917608,2.390345581128539,3.225518278717286,0.020877931414789996
prompt_3,33,67,4.364639911625216,3.543728234054006,0.9834386440060949,3.5698712470565015
prompt_4,40,60,2.8978857269441765,2.6807177750245486,2.509573111084389,0.5609320126936124
prompt_5,60,40,3.3496831944073087,2.543644067265143,0.8178689425499069,4.9077605188209015
prompt_6,19,81,2.7591441331720974,2.17154174861135,3.84293319008546,0.6105350843972635
prompt_7,18,82,2.67082888960543,2.2915512136716303,3.1192135023327507,2.9833162537322133
prompt_8,52,48,1.9192536775485118,2.456538718597001,0.8821172090499746,2.5116065627890247
prompt_9,89,11,0.9799254392504947,3.33543457254485,3.0328631227723317,2.074457741333753
